gender,height_cm,bodyweight_kg,workout_name,set_weight_kg,reps,duration_min,calories_burned,predicted_1rm
M,175,74,Incline Bench Press (Barbell),135.0,8,3,22.2,171.0
M,175,74,Incline Bench Press (Barbell),135.0,8,3,22.2,171.0
M,175,74,Incline Bench Press (Barbell),135.0,5,4,29.6,157.5
M,175,74,Incline Bench Press (Barbell),185.0,7,3,22.2,228.16666666666669
M,175,74,Incline Bench Press (Barbell),230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press (Barbell),230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press (Barbell),230.0,8,3,22.2,291.3333333333333
M,175,74,Weighted dips,220.0,8,3,13.0,278.66666666666663
M,175,74,Weighted dips,315.0,8,3,13.0,399.0
M,175,74,Weighted dips,315.0,8,3,13.0,399.0
M,175,74,Weighted dips,315.0,8,3,13.0,399.0
M,175,74,Incline Bench Press,135.0,8,3,22.2,171.0
M,175,74,Incline Bench Press,135.0,8,3,22.2,171.0
M,175,74,Incline Bench Press,135.0,5,4,29.6,157.5
M,175,74,Incline Bench Press,185.0,7,3,22.2,228.16666666666669
M,175,74,Incline Bench Press,230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press,230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press,230.0,8,3,22.2,291.3333333333333
M,175,74,Weighted dips,220.0,8,3,13.0,278.66666666666663
M,175,74,Weighted dips,315.0,8,3,13.0,399.0
M,175,74,Weighted dips,315.0,8,3,13.0,399.0
M,175,74,Weighted dips,315.0,8,3,13.0,399.0
M,175,74,Squat (Barbell),135.0,8,3,22.2,171.0
M,175,74,Squat (Barbell),185.0,5,4,29.6,215.83333333333334
M,175,74,Squat (Barbell),225.0,7,3,22.2,277.5
M,175,74,Squat (Barbell),275.0,5,4,29.6,320.83333333333337
M,175,74,Squat (Barbell),315.0,5,4,29.6,367.5
M,175,74,Squat (Barbell),315.0,6,3,22.2,378.0
M,175,74,Squat (Barbell),315.0,8,3,22.2,399.0
M,175,74,Leg press (hinge ),430.0,10,3,13.0,573.3333333333333
M,175,74,Leg press (hinge ),430.0,10,3,13.0,573.3333333333333
M,175,74,Leg press (hinge ),430.0,10,3,13.0,573.3333333333333
M,175,74,Good Morning (Barbell),115.0,8,3,13.0,145.66666666666666
M,175,74,Good Morning (Barbell),115.0,8,3,13.0,145.66666666666666
M,175,74,Squat,135.0,8,3,22.2,171.0
M,175,74,Squat,185.0,5,4,29.6,215.83333333333334
M,175,74,Squat,225.0,7,3,22.2,277.5
M,175,74,Squat,275.0,5,4,29.6,320.83333333333337
M,175,74,Squat,315.0,5,4,29.6,367.5
M,175,74,Squat,315.0,6,3,22.2,378.0
M,175,74,Squat,315.0,8,3,22.2,399.0
M,175,74,Leg press,430.0,10,3,13.0,573.3333333333333
M,175,74,Leg press,430.0,10,3,13.0,573.3333333333333
M,175,74,Leg press,430.0,10,3,13.0,573.3333333333333
M,175,74,Good Morning,115.0,8,3,13.0,145.66666666666666
M,175,74,Good Morning,115.0,8,3,13.0,145.66666666666666
M,175,74,Chin Up,47.5,8,3,13.0,60.166666666666664
M,175,74,Chin Up,47.5,8,3,13.0,60.166666666666664
M,175,74,Chin Up,47.5,8,3,13.0,60.166666666666664
M,175,74,Chin Up,0.0,10,3,13.0,0.0
M,175,74,Lat Pulldown ,150.0,10,3,13.0,200.0
M,175,74,Lat Pulldown ,150.0,10,3,13.0,200.0
M,175,74,Seated Cable Row (close Grip),130.0,8,3,13.0,164.66666666666666
M,175,74,Seated Cable Row (close Grip),130.0,8,3,13.0,164.66666666666666
M,175,74,Seated Cable Row (close Grip),130.0,8,3,13.0,164.66666666666666
M,175,74,Seated Cable Row (close Grip),130.0,8,3,13.0,164.66666666666666
M,175,74,Rear delt fly,120.0,12,3,13.0,168.0
M,175,74,Rear delt fly,120.0,10,3,13.0,160.0
M,175,74,Rear delt fly,120.0,12,3,13.0,168.0
M,175,74,Chin Up,47.5,8,3,13.0,60.166666666666664
M,175,74,Chin Up,47.5,8,3,13.0,60.166666666666664
M,175,74,Chin Up,47.5,8,3,13.0,60.166666666666664
M,175,74,Chin Up,0.0,10,3,13.0,0.0
M,175,74,Lat Pulldown,150.0,10,3,13.0,200.0
